Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Sales,Profit
ORD00001,2025-01-01 00:00:00.000000000,Shoes,Clothing,South,2,45.48,90.96,22.6
ORD00002,2025-01-01 07:17:09.858215179,Perfume,Beauty,West,1,611.2,611.2,131.32
ORD00003,2025-01-01 14:34:19.716430358,Notebook,Office Supplies,South,3,303.66,910.98,177.14
ORD00004,2025-01-01 21:51:29.574645537,Skincare,Beauty,West,7,320.04,2240.28,597.09
ORD00005,2025-01-02 05:08:39.432860717,Perfume,Beauty,South,2,605.87,1211.74,148.27
ORD00006,2025-01-02 12:25:49.291075896,Table,Furniture,East,2,735.56,1471.12,245.56
ORD00007,2025-01-02 19:42:59.149291075,Stapler,Office Supplies,North,3,761.23,2283.69,467.81
ORD00008,2025-01-03 03:00:09.007506255,Stapler,Office Supplies,East,1,465.93,465.93,71.19
ORD00009,2025-01-03 10:17:18.865721434,Notebook,Office Supplies,North,7,292.13,2044.91,320.79
ORD00010,2025-01-03 17:34:28.723936613,Perfume,Beauty,West,6,632.16,3792.96,502.84
ORD00011,2025-01-04 00:51:38.582151793,Jacket,Clothing,East,1,208.29,208.29,39.8
ORD00012,2025-01-04 08:08:48.440366972,Notebook,Office Supplies,South,5,455.62,2278.1,598.33
ORD00013,2025-01-04 15:25:58.298582151,Makeup,Beauty,North,4,293.28,1173.12,117.76
ORD00014,2025-01-04 22:43:08.156797331,Desk,Furniture,North,3,528.74,1586.22,449.87
ORD00015,2025-01-05 06:00:18.015012510,Shoes,Clothing,East,6,199.92,1199.52,266.62
ORD00016,2025-01-05 13:17:27.873227689,Bookshelf,Furniture,West,7,161.36,1129.52,288.95
ORD00017,2025-01-05 20:34:37.731442869,Shoes,Clothing,East,3,735.41,2206.23,417.08
ORD00018,2025-01-06 03:51:47.589658048,Makeup,Beauty,West,3,90.42,271.26,66.43
ORD00019,2025-01-06 11:08:57.447873227,Headphones,Electronics,West,1,409.71,409.71,22.14
ORD00020,2025-01-06 18:26:07.306088407,Jeans,Clothing,North,4,184.47,737.88,187.86
ORD00021,2025-01-07 01:43:17.164303586,Chair,Furniture,East,5,40.75,203.75,12.23
ORD00022,2025-01-07 09:00:27.022518765,Perfume,Beauty,East,2,38.45,76.9,20.95
ORD00023,2025-01-07 16:17:36.880733945,Jacket,Clothing,West,2,148.43,296.86,88.46
ORD00024,2025-01-07 23:34:46.738949124,Monitor,Electronics,East,3,694.75,2084.25,257.44
ORD00025,2025-01-08 06:51:56.597164303,Smartphone,Electronics,South,4,233.16,932.64,95.67
ORD00026,2025-01-08 14:09:06.455379482,Notebook,Office Supplies,South,7,760.86,5326.02,1285.39
ORD00027,2025-01-08 21:26:16.313594662,Pen Set,Office Supplies,East,7,469.48,3286.36,372.2
ORD00028,2025-01-09 04:43:26.171809841,Desk,Furniture,East,6,354.93,2129.58,567.3
ORD00029,2025-01-09 12:00:36.030025020,T-Shirt,Clothing,West,1,468.27,468.27,35.45
ORD00030,2025-01-09 19:17:45.888240200,Jacket,Clothing,South,4,418.19,1672.76,136.31
ORD00031,2025-01-10 02:34:55.746455379,Notebook,Office Supplies,South,4,609.43,2437.72,718.61
ORD00032,2025-01-10 09:52:05.604670558,Jacket,Clothing,North,1,233.17,233.17,50.94
ORD00033,2025-01-10 17:09:15.462885738,Shoes,Clothing,West,7,288.91,2022.37,529.3
ORD00034,2025-01-11 00:26:25.321100917,Smartphone,Electronics,North,7,716.33,5014.31,657.29
ORD00035,2025-01-11 07:43:35.179316096,Notebook,Office Supplies,South,7,757.7,5303.9,1162.2
ORD00036,2025-01-11 15:00:45.037531276,Hair Care,Beauty,West,3,715.12,2145.36,425.98
ORD00037,2025-01-11 22:17:54.895746455,Notebook,Office Supplies,East,4,341.36,1365.44,274.16
ORD00038,2025-01-12 05:35:04.753961634,Skincare,Beauty,West,2,626.49,1252.98,276.45
ORD00039,2025-01-12 12:52:14.612176814,Smartphone,Electronics,East,1,386.31,386.31,74.88
ORD00040,2025-01-12 20:09:24.470391993,Table,Furniture,East,7,403.06,2821.42,443.71
ORD00041,2025-01-13 03:26:34.328607172,T-Shirt,Clothing,West,6,171.7,1030.2,122.57
ORD00042,2025-01-13 10:43:44.186822352,Headphones,Electronics,East,7,476.99,3338.93,808.51
ORD00043,2025-01-13 18:00:54.045037531,Jacket,Clothing,North,7,157.05,1099.35,117.16
ORD00044,2025-01-14 01:18:03.903252710,Table,Furniture,South,5,271.94,1359.7,303.33
ORD00045,2025-01-14 08:35:13.761467890,Bookshelf,Furniture,East,3,685.47,2056.41,222.78
ORD00046,2025-01-14 15:52:23.619683069,Monitor,Electronics,North,1,173.59,173.59,35.82
ORD00047,2025-01-14 23:09:33.477898248,Bookshelf,Furniture,East,5,66.22,331.1,78.39
